Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
597,38.606,0.091,6.71,178590,0.129072
598,43.532,0.091,6.74,178889,0.145172
599,35.005,0.091,6.88,179188,0.116941
600,33.612,0.09,7.17,179487,0.112779
601,25.636,0.09,7.84,179786,0.088133
602,45.431,0.09,7.08,180085,0.153162
603,41.667,0.089,6.69,180384,0.139281
604,37.391,0.089,7.08,180683,0.1264
605,28.211,0.088,7.82,180982,0.094581
606,36.93,0.088,7.29,181281,0.126093
607,27.861,0.088,7.96,181580,0.093076
608,26.203,0.087,7.93,181879,0.088009
609,43.505,0.087,6.66,182178,0.145402
610,26.788,0.087,7.81,182477,0.089631
611,45.81,0.086,6.58,182776,0.153086
612,34.136,0.086,7.5,183075,0.114394
613,32.916,0.086,7.31,183374,0.112394
614,27.751,0.085,8.04,183673,0.094279
615,45.514,0.085,6.66,183972,0.152326
616,42.533,0.085,6.77,184271,0.14184
617,26.501,0.084,7.9,184570,0.089928
618,31.147,0.084,7.64,184869,0.104246
619,44.822,0.084,6.56,185168,0.150744
620,44.077,0.083,6.81,185467,0.147642
621,32.421,0.083,7.59,185766,0.108826
622,39.513,0.083,7.11,186065,0.131789
623,36.69,0.082,7.41,186364,0.123039
624,31.5,0.082,7.9,186663,0.105088
625,31.317,0.082,7.81,186962,0.104535
